Floor_Name,Room_Name,is_segment,Room_id,No_of_door,No_of_window,No_of_room_points,Min X Pixels,Min Y Pixels,Max X Pixels,Max Y Pixels,dimensions_imperial,dimensions_metric,Max Area Metric,Max Area Imperial,Max Area Pixels,Actual Area Pixels,Pixel ratio,Scale Metric,Scale Imperial,Calculated Sq Area Metric,Calculated Floor Total Sq Area Metric,calculated_area_imperial,Calculated Floor Total Sq Area Imperial,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ground_floor,KITCHEN,segment,1.0,3.0,3.0,25.0,33.0,33.0,237.0,522.0,"12'10"" x 7'3""",3.90m x 2.20m,8.58,93.04166666666669,99756.0,83691.0,0.838957055214724,8.600986406832672e-05,0.000932692436211,7.2,8.3,78.06,89.97000000000001,,,,,,,,,,,,,,,,,,,,,,,,
ground_floor,LIVING ROOM,not segment,2.0,0.0,0.0,0.0,,,,,"19'8"" x 13'1""",6.00m x 4.00m,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ground_floor,BATHROOM,segment,3.0,0.0,1.0,4.0,138.0,151.0,237.0,236.0,Unknown,Unknown,,,8415.0,8323.5,0.989126559714795,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ground_floor,STAIRS,segment,4.0,1.0,0.0,7.0,31.0,192.0,77.0,233.0,Unknown,Unknown,,,1886.0,1741.0,0.923117709437964,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ground_floor,PORCH,segment,5.0,2.0,0.0,5.0,33.0,528.0,103.0,568.0,Unknown,Unknown,,,2800.0,2714.5,0.9694642857142856,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ground_floor,stairs,object,,0.0,0.0,4.0,31.0,234.0,81.0,288.0,unknown,unknown,,,2700.0,2648.5,0.980925925925926,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first_floor,BEDROOM,segment,1.0,1.0,2.0,4.0,33.0,31.0,236.0,234.0,"11'6"" x 10'2""",3.50m x 3.10m,10.85,116.91666666666666,41209.0,41209.0,1.0,0.0002632919993205,0.0028371634028165,10.85,24.15,116.92,260.27,,,,,,,,,,,,,,,,,,,,,,,,
first_floor,Hallway,segment,2.0,2.0,0.0,5.0,88.0,238.0,130.0,377.0,Unknown,Unknown,,,5838.0,5706.0,0.9773895169578622,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
first_floor,BEDROOM,segment,3.0,1.0,0.0,5.0,138.0,240.0,237.0,377.0,"10'2"" x 5'3""",3.10m x 1.60m,4.960000000000001,53.375,13563.0,13445.0,0.9912998599129986,0.000365700803657,0.0039353387893533,4.92,33.550000000000004,52.91,360.99,,,,,,,,,,,,,,,,,,,,,,,,
first_floor,Landing,segment,4.0,1.0,0.0,4.0,33.0,306.0,81.0,377.0,Unknown,Unknown,,,3408.0,3372.5,0.9895833333333334,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
first_floor,Hallway,not segment,5.0,0.0,0.0,0.0,,,,,Unknown,Unknown,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
first_floor,BEDROOM,segment,6.0,1.0,1.0,5.0,32.0,381.0,236.0,520.0,"12'2"" x 11'10""",3.70m x 3.60m,13.32,143.97222222222223,28356.0,27998.5,0.9873924389899844,0.0004697418535759,0.0050773107004592,13.15,56.24,142.16,607.9,,,,,,,,,,,,,,,,,,,,,,,,
first_floor,stairs,object,,0.0,0.0,4.0,33.0,238.0,82.0,305.0,unknown,unknown,,,3283.0,3216.0,0.979591836734694,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
