property_id,user_id,floorplan_id,floor_name,room_name,is_segment,dimensions_imperial,dimensions_metric,room_id,no_of_door,no_of_window,no_of_room_points,min_x_pixels,min_y_pixels,max_x_pixels,max_y_pixels,max_area_metric,max_area_imperial,max_area_pixels,actual_area_pixels,pixel_ratio,scale_metric,scale_imperial,calculated_sq_area_metric,calculated_floor_total_sq_area_metric,calculated_area_imperial,calculated_floor_total_sq_area_imperial,created_at
3,2,415a2987b42c68a830c048271e6cceb44012d2114cff8fb3e7a7ef7a96fa0baf,ground_floor,Kitchen/Dining Room,segment,"21'11"" x 20'11""",6.68m x 6.38m,1.0,3.0,1.0,11.0,43.0,73.0,628.0,664.0,42.6184,458.4236111111112,345735.0,264192.5,0.7641473961270916,0.0001232689776852,0.0013259392630515,32.57,,350.3,,2025-04-12T12:35:31.905343+00:00
3,2,415a2987b42c68a830c048271e6cceb44012d2114cff8fb3e7a7ef7a96fa0baf,ground_floor,Utility,segment,"7'10"" x 7'2""",2.39m x 2.18m,2.0,3.0,0.0,9.0,421.0,300.0,628.0,490.0,5.2102,56.138888888888886,39330.0,34979.0,0.8893719806763285,0.0001324739384693,0.0014273808514845,4.63,,49.93,,2025-04-12T12:35:31.905343+00:00
3,2,415a2987b42c68a830c048271e6cceb44012d2114cff8fb3e7a7ef7a96fa0baf,ground_floor,Living Room,segment,"15'11"" x 12'7""",4.85m x 3.84m,3.0,2.0,1.0,8.0,44.0,678.0,442.0,1015.0,18.624,200.28472222222223,134126.0,132048.0,0.984507105259234,0.0001388545099384,0.0014932579978693,18.34,,197.18,,2025-04-12T12:35:31.905343+00:00
3,2,415a2987b42c68a830c048271e6cceb44012d2114cff8fb3e7a7ef7a96fa0baf,ground_floor,Utility,segment,,,5.0,1.0,0.0,4.0,448.0,679.0,476.0,730.0,,,1428.0,1364.0,0.9551820728291316,0.0,0.0,0.0,,0.0,,2025-04-12T12:35:31.905343+00:00
3,2,415a2987b42c68a830c048271e6cceb44012d2114cff8fb3e7a7ef7a96fa0baf,ground_floor,Unknown (AI),segment,,,6.0,4.0,1.0,11.0,457.0,744.0,628.0,1095.0,,,60021.0,34628.5,0.5769397377584512,0.0,0.0,0.0,,0.0,,2025-04-12T12:35:31.905343+00:00
3,2,415a2987b42c68a830c048271e6cceb44012d2114cff8fb3e7a7ef7a96fa0baf,ground_floor,Utility,segment,,,7.0,2.0,0.0,4.0,558.0,744.0,628.0,839.0,,,6650.0,6602.5,0.9928571428571428,0.0,0.0,0.0,,0.0,,2025-04-12T12:35:31.905343+00:00
3,2,415a2987b42c68a830c048271e6cceb44012d2114cff8fb3e7a7ef7a96fa0baf,ground_floor,Living Room (AI),segment,,,8.0,1.0,1.0,11.0,363.0,1032.0,573.0,1115.0,,,17430.0,13557.0,0.7777969018932874,0.0,0.0,0.0,,0.0,,2025-04-12T12:35:31.905343+00:00
3,2,415a2987b42c68a830c048271e6cceb44012d2114cff8fb3e7a7ef7a96fa0baf,ground_floor,stairs,object,,,,,,4.0,558.0,840.0,631.0,938.0,,,7154.0,7020.5,0.9813391109868606,0.0,0.0,0.0,,0.0,,2025-04-12T12:35:31.905343+00:00
3,2,415a2987b42c68a830c048271e6cceb44012d2114cff8fb3e7a7ef7a96fa0baf,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-12T12:35:31.905343+00:00
3,2,415a2987b42c68a830c048271e6cceb44012d2114cff8fb3e7a7ef7a96fa0baf,outbuilding,Office,segment,"10'9"" x 9'2""",3.28m x 2.79m,1.0,1.0,2.0,14.0,47.0,45.0,290.0,410.0,9.1512,98.54166666666666,88695.0,73080.5,0.8239528722024917,0.000103176052765,0.0011110171561718,7.54,,81.19,,2025-04-12T12:35:31.905343+00:00
